state,name,party,role,district,sitting,sponsored,yea,nay,people_id
ME,Richard Mason,R,Rep,HD-097,yes,0,2,2,21273
MT,Verdell Jackson,R,Sen,SD-005,no,0,4,0,7982
ME,Kathleen Dillingham,R,Rep,HD-072,no,0,2,2,17270
ME,Laura Supica,D,Rep,HD-022,yes,1,1,0,22705
ME,Tiffany Roberts-Lovell,D,Rep,HD-149,yes,0,2,2,21232
ME,Grayson Lookner,D,Rep,HD-113,yes,1,1,0,22698
ME,Sophia Warren,D,Rep,HD-124,yes,1,1,0,22294
ME,Thomas Harnett,D,Rep,HD-083,no,0,3,1,21213
ME,Mark Blier,R,Rep,HD-138,yes,0,2,2,21191
ME,Christopher Caiazzo,D,Rep,HD-028,no,0,3,1,21193
ME,Denise Harlow,D,Rep,HD-036,no,1,0,1,13221
ME,Justin Fecteau,R,Rep,HD-086,no,0,3,1,21206
ME,Abigail Griffin,R,Rep,HD-034,yes,0,2,2,21210
ME,Frances Head,R,Rep,HD-117,no,0,3,1,17335
ME,Sherman Hutchins,R,Rep,HD-131,no,0,2,2,21216
ME,Sarah Pebworth,D,Rep,HD-133,no,0,3,1,21229
ME,Paul Stearns,R,Rep,HD-119,no,0,2,2,16784
ME,Donna Doore,D,Rep,HD-085,no,0,3,1,16634
ME,George Hogan,D,Rep,HD-013,no,1,1,0,8844
